AREA,Event,Sub-Category,Time of Event,DOI,MGRS FRIENDLY,MGRS NON PARTNER 
Manbij,Assassination,TSO,,1-Jun-18,37SDA1199058694,
Manbij,Cross DML,,,1-Jun-18,37SDA0028155459,
Manbij,Cross DML,,,1-Jun-18,37SCA9437455957,
Manbij,Cross DML,,,1-Jun-18,37SCA9500356261 ,
Manbij,Cross DML,,,1-Jun-18,37SCA83323 34353,
Raqqah,Explosion,IED,,1-Jun-18,37SDV9825180139,
Ayn Issa,IED,VBIED,,2-Jun-18,37SDA8791626728,
Dayr az Zawr,IED,IED,,2-Jun-18,37SFV 0417420605,
Manbij,Cross DML,,,2-Jun-18,37SCA83570 32728,
Manbij,Cross DML,,,2-Jun-18,37S CA 82184 39583,
Ayn Issa,IED,IED,,3-Jun-18,37SDA8378724317,
Manbij,Cross DML,,,3-Jun-18,37S DA 11689 53766,
Manbij,Cross DML,,,3-Jun-18,37SCA9352055538,
Manbij,Cross DML,,,3-Jun-18,37S CA 80123 36813,
Manbij,Cross DML,,,3-Jun-18,37S CA 79325 36876,
Manbij,Cross DML,,,3-Jun-18,37SDA1591455688,
Raqqah,Cache,,,3-Jun-18,37SEV0085779010,
Raqqah,Cache,,,3-Jun-18,37SEV0090278853,
Manbij,Cross DML,,,4-Jun-18,37S CA 83312 34312,
Manbij,Cross DML,,,4-Jun-18,37SCA9352055538,
Manbij,Cross DML,,,4-Jun-18,37SDA0028155459,
Marqadah,Crime,Murder,,4-Jun-18,37S FV 25569 53501,
Manbij,Cross DML,,,5-Jun-18,37SDA0247555727,
Manbij,Cross DML,,,6-Jun-18,37SDA1699157012,
Manbij,Cross DML,,,6-Jun-18,37SCA8877649536,
Manbij,Cross DML,,,6-Jun-18,37SDA0867954141,
Manbij,Cross DML,,,7-Jun-18,37SDA0247555727,
Manbij,Cross DML,,,7-Jun-18,37SDA0247555727,
Manbij,Cross DML,,,7-Jun-18,37SDA0995654072,
Manbij,Cross DML,,,7-Jun-18,37SDA1681655799,
Manbij,Cross FLOT,,,7-Jun-18,37S DA 01673 20539,
Raqqah,Cache,Mortar,,7-Jun-18,37SDV9913978283,
Suwar,Attack,SAF,,7-Jun-18,37SFV3419325049,
Suwar,IED,IED,,7-Jun-18,37SFV 4920628519,
Raqqah,IED,IED,,8-Jun-18,,
Dayr az Zawr,Attack,Ambush,,9-Jun-18,37SFU 46567 63220,
Manbij,Cross DML,,,9-Jun-18,37SDA0727253659,
Manbij,Cross DML,,,9-Jun-18,37SDA0901454658,
Manbij,IED,Explosion,,9-Jun-18,37S DA  05213 42584,
Manbij,IED,Explosion,,9-Jun-18,37S DA 05926 43040,
Raqqah,IED,IED,,9-Jun-18,37SDV9968978003,
Raqqah,IED,ERW Explosion,,9-Jun-18,37SDV7462879271,
Hajin,IED,RCIED,,10-Jun-18,37SFU5734850314,
Manbij,Cross DML,,,10-Jun-18,37SDA 0432455808,
Manbij City,IED,IED ,,10-Jun-18,37SDA0521342584,
Manbij City,IED,IED,,10-Jun-18,37SDA0573942942,
Mayadin,IED,VBIED,,10-Jun-18,37SFU3496181396,
Raqqah,IED,IED,,10-Jun-18,37SEV0098678981,
Ayn Issa,Attack,Ambush,,11-Jun-18,37SDV9878099757,
Hajin,Attack,SAF,,11-Jun-18,37SFU6465245209,
Manbij,Cross DML,,,11-Jun-18,37SCA 83500 41000,
Mayadin,Attack,SAF,,11-Jun-18,37SFU3496181396,
Raqqah,Attack,SAF,,11-Jun-18,37SEA0100903442,
Raqqah,Attack,SAF,,11-Jun-18,37SEV0307799892,
Manbij,Cross DML,,,12-Jun-18,37SCA8085934009,
Manbij,Cross DML,,,12-Jun-18,,37SEV0085779010
Manbij,Cross FLOT,,,12-Jun-18,37S DA 10022 16509,
Tall Aswad,Cross DML,,,12-Jun-18,37SDA0888317152,
Manbij,Cross DML,,,13-Jun-18,37SCA9905255594,
Manbij,IED,IED,,13-Jun-18,37SDA0424542365,
Manbij City,IED,IED,,13-Jun-18,37SDA0424542365,
Manbij,Cross DML,,,14-Jun-18,37SCA9502956238,
Manbij,Cross DML,,,14-Jun-18,37SCA9311654917,
Manbij,Cross DML,,,14-Jun-18,,37SEV0085779010
Manbij,Cross DML,,,14-Jun-18,,37SEV0085779010
Manbij,Cross DML,,,14-Jun-18,37SCA9439555977,
Manbij,Cross DML,,,14-Jun-18,37SCA8878049545,
Manbij,Cross DML,,,14-Jun-18,37SCA9218853512,
Manbij,IED,,,14-Jun-18,37SDA0393142218,
Manbij,IED,IED,,14-Jun-18,37SDA0526142694,
Manbij,IED,IED,,14-Jun-18,37SCA7799440430,
Manbij,Cross DML,,,15-Jun-18,37SCA8865548117,
Manbij,IED,Attempted,,15-Jun-18,37SDA1570856236,
Manbij,Cross DML,,,16-Jun-18,37SDA0643754342 ,
Manbij,Cross DML,,,16-Jun-18,,37SEV0085779010
Manbij,Cross DML,,,16-Jun-18,37SDA1305453902 ,
Manbij,Cross DML,,,16-Jun-18,37SDA1209153677,
Manbij,Cross DML,,,16-Jun-18,37SDA0872655266,
Manbij,Cross DML,,,16-Jun-18,37SDA1200054433,
Mayadin,Attack,Motorcycle Attack,,17-Jun-18,37SFU3242883603,
Raqqah,IED,IED,,17-Jun-18,37SEC0167179794,
Raqqah,IED,RCIED,,18-Jun-18,37SEV0389498436,
Manbij,Cross DML,,,20-Jun-18,37SDA0315556273,
Manbij,Cross DML,,,20-Jun-18,37SDA0292655574,
Manbij,IED,IED,,20-Jun-18,37SDA0762241623 ,
Manbij,IED,IED,,20-Jun-18,37SDA0757641615,
Manbij City,IED,IED,,20-Jun-18,37SDA0757641615,
Raqqah,Attack,SAF,,20-Jun-18,37SEV0032379581,
Manbij,Cross DML,,,21-Jun-18,37SDA0886554491,
Manbij,Cross DML,,,21-Jun-18,,37SEV0085779010
Manbij,Cross DML,,,21-Jun-18,37SDA 0439 5650,
Raqqah,IED,IED,,21-Jun-18,,
Raqqah,Civil disturbance,Protest,,21-Jun-18,37SEV0364578695,
Tabqah,Civil disturbance,Protest,,21-Jun-18,37SDV7709665986,
Manbij,Cross DML,,,22-Jun-18,37S DA 08820 55290,
manbij,Cross DML,,,22-Jun-18,,
manbij,Cross DML,,,23-Jun-18,37S CA 93102 54908,
manbij,Cross DML,,,24-Jun-18,37S CA 85573 43216,
manbij,Cross DML,,,24-Jun-18,37S CA 90372 45612,
manbij,Cross DML,,,24-Jun-18,37SCA8877649536,
Raqqah,Attack,Molotov Cocktail,,26-Jun-18,37SDV9864078727,
raqqah,IED,IED,,27-Jun-18,37SDV9890679126,
Hasakah,IED,IED,,30-Jun-18,37SFA5652641083,
Manbij,Attack,Infighting ,,30-Jun-18,37SDA0012061249,
Qamishli ,Patrol,,,30-Jun-18,37SEA9555478336,
Raqqah,IED,IED,,30-Jun-18,,
Manbij,Cross DML,,,1-Jul-18,37SDA0867954141,
Manbij,Cross DML,,,1-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,1-Jul-18,37SCA9437455957,
Manbij,Cross DML,,,1-Jul-18,,37SEV0085779010
Dayr az Zawr,Attack,SAF,,2-Jul-18,37SFU3257494577,
Manbij,Cross DML,,,2-Jul-18,37SDA1209153677,
Manbij,Cross DML,,,2-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,2-Jul-18,37SDA0995654072,
Manbij,Cross DML,,,2-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,2-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,2-Jul-18,37SDA0901454658,
Manbij,Cross DML,,,2-Jul-18,37SDA0867255285,
Manbij,Attack,SAF,,4-Jul-18,37SCA89352 46448,
Manbij,IED,Explosion,,4-Jul-18,,37SEV0085779010
Raqqah,IED,Explosion,,4-Jul-18,37SEV0256077901,
Suwar,IED,IED,,4-Jul-18,37SFV 48875 22853,
Suwar,IED,IED,,4-Jul-18,,
Manbij,Cross DML,,,5-Jul-18,37SCA9904555577,
Manbij,Cross DML,,,5-Jul-18,37SCA8877649536,
Manbij,IED,IED,,5-Jul-18,37SDA2184847138,
Manbij,Attack,Infighting ,,5-Jul-18,37SDA0404560329,
Raqqah,IED,IED,,5-Jul-18,37SDV9999078675,
Raqqah,IED,IED,,5-Jul-18,37SDV9977979493,
Dayr az Zawr,IED,VBIED,,6-Jul-18,37SFU3016091440,
Manbij,Attack,Infighting ,,6-Jul-18,37SCA9187055781,
Raqqah,IED,IED,,7-Jul-18,37S EV 01665 77041,
Suluk,IED,IED,,7-Jul-18,37S EA 07680 43095,
Baghuz,IDF,,,9-Jul-18,37S FU 87678 23167,
Manbij,Cross DML,,,10-Jul-18,37SCA8999151838,
Manbij,Cross DML,,,10-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,10-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,10-Jul-18,37SCA8941450944,
manbij,Cross DML,,,10-Jul-18,37S CA 98209 56172,
manbij,Cross DML,,,11-Jul-18,37S CA 79944 41630,
Manbij,Cross DML,,,11-Jul-18,37SCA9904555577,
manbij,Cross DML,,,11-Jul-18,37S DA 100095 54980,
Manbij,Attack,Infighting ,,11-Jul-18,,
manbij ,Cross DML,,,11-Jul-18,"37SDA0901354651
",
manbij ,Cross DML,,,11-Jul-18,,37SEV0085779010
Raqqah,IED,Explosion,,11-Jul-18,37SDV9978077558,
Tabqah,IED,IED,,12-Jul-18,37SDA7657266824,
Manbij,Cross DML,,,13-Jul-18,37SDA0292655574,
Raqqah,IED,Explosion,,13-Jul-18,,
Manbij,Cross DML,,,14-Jul-18,37SDA 09014 54658,
Manbij,Cross DML,,,14-Jul-18,37SCA9219553510,
Manbij,Cross DML,,,14-Jul-18,,37SEV0085779010
Raqqah,IED,IED,,14-Jul-18,37S EV 00678 79093,
Dayr az Zawr,IED,IED,,15-Jul-18,37SFV1238416348,
Manbij,Cross DML,,,15-Jul-18,37S CA 93520 55538,
Manbij,Cross DML,,,15-Jul-18,,37SCA 90889 55877
Manbij,Cross FLOT,,,15-Jul-18,37S CA 93448 25287,
Raqqah,Attack,SAF,,15-Jul-18,37SEV0059077148,
Raqqah,Attack,Molotov Cocktail,,15-Jul-18,37S EV 12688 75980,
Manbij,Cross DML,,,16-Jul-18,37S CA 93520 55538,
Manbij,Cross DML,,,16-Jul-18,,37SCA 90889 55877
Zur (KRV),Attack,SAF,,16-Jul-18,37SFU 3038788679,
Dayr az Zawr,IED,IED,,17-Jul-18,37S FV 15750 18540,
Manbij,Cross DML,,,17-Jul-18,37SCA 90889 55877,
Raqqah,IED,IED,,17-Jul-18,37SDA0705243004,
Manbij,Cross DML,,,18-Jul-18,37SDA0872755422,
Manbij City,IED,IED,,18-Jul-18,37SDA0857443255,
Raqqah,IED,IED,,18-Jul-18,37SDA9888979051,
Manbij,Cross FLOT,,,20-Jul-18,37S CA 89919 32114,
Raqqah,Attack,SAF,,20-Jul-18,37SDV9365079980,
Manbij,IED,IED,,21-Jul-18,37SDA0557042800,
Raqqah,IED,IED,,21-Jul-18,,
Dayr az Zawr,Assassination,Silencer Used,,22-Jul-18,37SFU 3646582412,
manbij,Attack,SAF,,23-Jul-18,37SDA0716540735,
Manbij,Cross DML,,,23-Jul-18,37SCA8988953282 ,
Manbij,Cross DML,,,23-Jul-18,37S CA 88776 49536,
Manbij,IED,IED,,23-Jul-18,37SDA07166 40689,
Manbij,Cross DML,,,24-Jul-18,37S CA 89991 51838,
Manbij,Cross DML,,,24-Jul-18,37S CA 92195 53510,
Manbij,Cross DML,,,24-Jul-18,37S CA 93520 55538,
Manbij,Cross DML,,,25-Jul-18,37SDA0029855452,
Manbij,Cross DML,,,25-Jul-18,,37SEV0085779010
Manbij,Attack,Infighting ,,25-Jul-18,37S DA 03720 55020,
Raqqah,IED,IED,,25-Jul-18,37SEV0075978834,
Raqqah,Reconnaissance,,,25-Jul-18,37SDV7622079338,
Shaddadi,IED,IED,,25-Jul-18,37SFV5566991603,
Suwar,Attack,SAF,,25-Jul-18,37SFV4907023046,
Ratlah,IED,IED,,26-Jul-18,37SEV0602170228,
Manbij,IED,IED,,28-Jul-18,37SCA8335841411,
Manbij,IED,ERW - Friendly,,28-Jul-18,37SCA8335841411,
Raqqah,IED,IED,,28-Jul-18,37S DV 99404 79128,
Raqqah,IED,IED,,28-Jul-18,37S EV 03388 77685,
Raqqah,IED,IED,,28-Jul-18,37S EV 23815 70615,
Baghuz,Attack,ATGM,,29-Jul-18,37SFU 81860 13601,
Manbij,Cross DML,,,29-Jul-18,37SDA1427254845,
Manbij,Cross DML,,,30-Jul-18,37SCA 88553 51923,
Manbij,Cross DML,,,30-Jul-18,37SCA 99932 56306 ,
Manbij,Cross DML,,,31-Jul-18,37SDA0028155459,
Manbij,Cross DML,,,31-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,31-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,31-Jul-18,37SCA8087234019,
Manbij,Cross DML,,,31-Jul-18,37SDA1384154320,
Manbij,Cross DML,,,31-Jul-18,,37SEV0085779010
Manbij,Cross DML,,,1-Aug-18,37SCA9817951059,
Manbij,Cross DML,,,2-Aug-18,37SCA9095851777,
Manbij,Cross DML,,,2-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,2-Aug-18,37SCA8349441051,
Manbij,Cross DML,,,3-Aug-18,37SCA8877649536,
Manbij,Cross DML,,,3-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,3-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,3-Aug-18,37SCA9095851777 ,
Manbij,Cross DML,,,3-Aug-18,37SCA8087234019,
Manbij,Cross DML,,,3-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,4-Aug-18,37SCA8962351288,
Manbij,Cross DML,,,4-Aug-18,,37SEV0085779010
Raqqah,IED,"Chemical, Found",,4-Aug-18,37SEV0120478304,
Manbij,Cross DML,,,5-Aug-18,37SCA8368441133,
Manbij,Cross DML,,,5-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,5-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,5-Aug-18,37SCA8861948960,
Manbij,Cross DML,,,5-Aug-18,37SCA9601456797,
Manbij,Cross DML,,,5-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,5-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,5-Aug-18,37SDA0028155459,
Manbij,Cross DML,,,5-Aug-18,37SDA0533354495,
Manbij,Cross DML,,,5-Aug-18,,37SEV0085779010
Shaddadi,IED,IED,,5-Aug-18,37SFV5018398268,
Manbij,Cross DML,,,6-Aug-18,37SCA9903555615,
Manbij,Cross DML,,,6-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,7-Aug-18,37SDA1523455274,
Manbij,IED,IED,,7-Aug-18,37SDA0656742714,
Raqqah,Reconnaissance,,,7-Aug-18,37SDV9517879127,
Manbij,Cross DML,,,7-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,8-Aug-18,37SDA0028155459,
Manbij,Cross DML,,,8-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,8-Aug-18,37SDA1591755706,
Manbij,Cross DML,,,8-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,9-Aug-18,37SDA0901454658,
Manbij,Cross DML,,,9-Aug-18,,37SEV0085779010
Manbij,IED,IED,,11-Aug-18,37SDA0771243136,
Manbij,IED,IED,,11-Aug-18,37SDA0390742229,
Manbij,Attack,Infighting ,,11-Aug-18,37SCA 88877 59798,
Raqqah,IED,IED,,11-Aug-18,37S DV 77260 79424,
Dayr az Zawr,IED,IED,,13-Aug-18,37S FU 364 875,
Manbij,Cross DML,,,13-Aug-18,37SDA0028155459,
Manbij,IED,VBIED,,13-Aug-18,37SDA0757343143,
Raqqah,IED,IED,,13-Aug-18,,
Manbij,Cross DML,,,14-Aug-18,37SDA0029855450,
Manbij,Cross DML,,,14-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,14-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,14-Aug-18,37SCA9439155991,
Manbij,Cross DML,,,14-Aug-18,37SCA9218253526,
Manbij,Cross DML,,,14-Aug-18,,37SEV0085779010
Raqqah,Assassination,,,14-Aug-18,37S EV 01186 78009,
Raqqah,Attack,SAF,,14-Aug-18,37S EV 05180 70555,
Manbij,Cross DML,,,15-Aug-18,"37SCA9310254908
",
Manbij,Cross DML,,,15-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,15-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,15-Aug-18,37SCA9437455957,
Manbij,Cross DML,,,15-Aug-18,"37SCA8035440780
",
Manbij,Cross DML,,,15-Aug-18,,37SEV0085779010
Manbij,IED,IED,,15-Aug-18,37SDA0530143392,
Manbij,Cross DML,,,16-Aug-18,"37SCA7905437440
",
Manbij,Cross DML,,,16-Aug-18,,37SEV0085779010
Manbij,IED,IED Emplacement,,16-Aug-18,37S DA 12001 54825 ,
Manbij,Cross DML,,,17-Aug-18,"37SCA8862448948
",
Manbij,Cross DML,,,17-Aug-18,,37SEV0085779010
Mayadin,IDF,,,17-Aug-18,37S FU 38210 79420,
Raqqah,IED,IED,,18-Aug-18,37S DV 99540 78984,
Manbij,TSO Engage Civilians,,,19-Aug-18,37SDA031562,
Raqqah,Attack,Grenade,,19-Aug-18,37S EV 00013 77550,
Tal Ar Rafi (Manbij),Attack,SAF,,19-Aug-18,37SDA1001948407,
Manbij,Cross DML,,,20-Aug-18,37SCA7932536876,
Manbij,Cross DML,,,20-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,20-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,20-Aug-18,37SCA8056834304,
Manbij,IED,IED,,20-Aug-18,37SDA0440242380,
Manbij,TSO Engage Civilians,,,20-Aug-18,37S DA 02931 55633,
Raqqah,IED,IED,,20-Aug-18,37S DV 99798 79570,
Raqqah,IED,MAIED,,20-Aug-18,37SEV0198677652,
Tal Ar Rafi (Manbij),Attack,SAF,,20-Aug-18,37SDA1001948407,
Dayr az Zawr,Attack,SAF,,21-Aug-18,,
Mayadin,IDF,,,21-Aug-18,37SFU4034479444,
Raqqah,Civil Disturbance,Tribal Feud,,21-Aug-18,37S DV 82170 89390,
Dayr az Zawr,IED,IED,,23-Aug-18,37SFU 298 961,
Manbij,Cross DML,,,23-Aug-18,37SCA8999151838,
Manbij,Attack,Infighting ,,23-Aug-18,37SCA8999151838,
Raqqah,Crime,Theft of Uniforms,,23-Aug-18,,
Dayr az Zawr,IED,VBIED Threat,,24-Aug-18,37SFV 243 005,
Manbij,Cross DML,,,24-Aug-18,,
Manbij,Attack,Infighting ,,25-Aug-18,37SCA9218756518,
Manbij,Cross DML,,,26-Aug-18,37SCA9723757402,
Manbij,Cross DML,,,26-Aug-18,37SCA8191039664,
Manbij,Attack,SAF,,27-Aug-18,37SDA0246055729,
Manbij,Cross DML,,,27-Aug-18,"37SCA9437455957
",
Manbij,Cross DML,,,27-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,27-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,27-Aug-18,"37SCA8096034317
",
Manbij,Cross DML,TSO vs Civilians,,27-Aug-18,37SDA0246055729,
Raqqah,IED,IED,,27-Aug-18,37S DV 77230 79431,
Raqqah,IED,IED,,27-Aug-18,,
Manbij,Cross DML,,,28-Aug-18,"37SCA87784847364
",
Manbij,Cross DML,,,28-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,28-Aug-18,,37SEV0085779010
Manbij,Cross DML,,,28-Aug-18,"37SCA87784847364
",
Manbij,Attack,Infighting ,,28-Aug-18,37SCA8989653235,
Al Qaim,IED,VBIED,,29-Aug-18,37SFU9505303108,
Manbij,IED,MAIED,,30-Aug-18,37SDA0420042653,
Manbij City,IED,IED,,30-Aug-18,37SDA0425842660,
Raqqah,Assassination,,,30-Aug-18,37SDV9862978436,
Raqqah,IED,DFC IED,,30-Aug-18,37SEV0108179422,
Tabqah,Attack,SAF,,30-Aug-18,37SDV61446778,
Tabqah,Attack,Ambush,,30-Aug-18,37SDV6929863402,
Manbij,IED,VBIED,,1-Sep-18,37 SDA 0538043121,
Manbij City,IED,IED,,1-Sep-18,37SDA0585642903,
Manbij City,IED,IED,,1-Sep-18,37SDA0537443130 ,
Hajin,Reconnaissance,UAS,,2-Sep-18,37S FU 64478 46006 ,
Manbij,Cross DML,,,2-Sep-18,37 SCA 7932536876,
Manbij,Cross DML,,,2-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,2-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,2-Sep-18,"37SCA9352055538
",
Manbij,Cross DML,,,2-Sep-18,37SCA9219553510,
Manbij,Cross DML,,,2-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,2-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,2-Sep-18,37SCA9172952810,
Manbij,IED,IED,,2-Sep-18,37SDA0595842136,
Manbij ,Cross DML,,,2-Sep-18,37 SCA 00294 55475,
Manbij ,Cross DML,,,2-Sep-18,,37SEV0085779010
Manbij City,IED,IED,,2-Sep-18,37SDA0596042132,
Raqqah,IED,IED,,2-Sep-18,37SEV0058579269,
Manbij,Cross DML,,,3-Sep-18,37 SCA 93520 55538,
Manbij,Cross DML,,,3-Sep-18,,37SEV0085779010
Tabqah,IED,IED,,3-Sep-18,37SDV57586632,
Tabqah,IED,IED,,3-Sep-18,37SDV61407309,
Manbij,IED,IED,,4-Sep-18,37 SDA 0508442284,
Manbij City,IED,IED,,4-Sep-18,37S DA 07723 43328,
Raqqah,Assassination,,,4-Sep-18,37S DV 99762 77734,
Raqqah,Assassination,,,4-Sep-18,37S DV 99741 79613,
Raqqah,IED,IED,,4-Sep-18,37 SEV 19414 71513,
Manbij,Cross DML,,,5-Sep-18,37 SCA 79329 36904,
Manbij,Cross DML,,,5-Sep-18,,37SEV0085779010
Manbij City,IED,IED,,5-Sep-18,37SDA0495342280,
Baghdad,IDF,,,7-Sep-18,,
Basrah,Civil Disturbance,Riot,,7-Sep-18,,
Hajin,IED,HBIED,,7-Sep-18,37 SFU 66000 45700 ,
Manbij,Cross DML,,,7-Sep-18,"37SCA7932936904 
",
Manbij,Cross DML,,,7-Sep-18,,37SEV0085779010
Manbij City,IED,IED,,7-Sep-18,37 SDA 0571842772,
Tabqah,Attack,SAF,,7-Sep-18,,
Baghdad,IDF,,,8-Sep-18,38 SMB 4142 8411,
Basrah,IDF,,,8-Sep-18,38 RQU 55710 83632,
Dayr az Zawr,Cross DML,,,8-Sep-18,"37S FV 21825 00388

",
Dayr az Zawr,Cross DML,,,8-Sep-18,"37S FV 22430 00431
",
Manbij,Cross DML,,,8-Sep-18,37 SDA 04740 55229,
Manbij,Cross DML,,,8-Sep-18,,37SEV0085779010
Qamishli ,Attack,SAF,,8-Sep-18,,
Manbij,IED,IED,,10-Sep-18,"37SDA1463417405
",
Manbij,IED,IED,,10-Sep-18,37SDA1463417405,
Manbij,IED,IED,,10-Sep-18, 37SDA0572142770,
Manbij,IED,IED,,12-Sep-18,37SDA0573342735,
Manbij,IED,IED,,12-Sep-18,37SDA0578742759,
Manbij,IED,IED,,13-Sep-18,37SDA0546341467,
Al Qaim,IED,IED,,14-Sep-18,37SFU 89648 05750,
Manbij,IED,IED,,14-Sep-18,"37SDA0599542974
",
Manbij,IED,IED,,14-Sep-18,37SDA0603242972,
Manbij,IED,IED,,14-Sep-18,37 SDA 0603242972,
MERV,IED,IED,,14-Sep-18,37S FU 8188 4155,
Manbij,Cross DML,,,15-Sep-18,37 SCA 83642 32715 ,
Manbij,Cross DML,,,15-Sep-18,37SCA8410332678,
Manbij,Cross DML,,,15-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,15-Sep-18,37SCA8720932479,
Manbij,Cross DML,,,15-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,15-Sep-18,37SCA 83284 34313,
Manbij,Cross DML,,,15-Sep-18,37SCA 83284 34313,
Manbij,Cross DML,,,15-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,15-Sep-18,37 SCA 80872 34019,
Manbij,Cross DML,,,15-Sep-18,,37SEV0085779010
Raqqah,Assassination,,,16-Sep-18,37SEV0167579181,
Raqqah,IED,IED,,16-Sep-18,37SDV9944379021,
Raqqah,IED,IED,,18-Sep-18,37 SDV 99789 79572,
Raqqah,IED,IED,,18-Sep-18,37 SEV 01487 77911,
Manbij,Cross DML,,,19-Sep-18,37 SDA 06041 54542,
Manbij,Cross DML,,,19-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,19-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,19-Sep-18,37 SCA 94374 55957,
Raqqah,IED,IED,,19-Sep-18,37 SEV 00361 79570,
Manbij,Cross DML,,,20-Sep-18,37 SCA 79308 36921,
Manbij,Cross DML,,,20-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,20-Sep-18,37 SCA 83646 32713,
Manbij,Cross DML,,,20-Sep-18,,37SEV0085779010
Manbij,IED,IED,,20-Sep-18,37 SDA 07725 43328,
Manbij City,IED,IED,,20-Sep-18,37SDA0775543494,
Manbij,Cross DML,,,21-Sep-18,37 SDA 02460 55729,
Manbij,Cross FLOT,,,21-Sep-18,37 SCA 98610 21934,
Suwar,Assassination,,,21-Sep-18,IVO Suwar,
Manbij,Cross DML,,,22-Sep-18,37 SCA 80786 34664,
Manbij,Cross DML,,,22-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,23-Sep-18,37 SCA 79326 37061,
Manbij,Cross DML,,,23-Sep-18,,37SEV0085779010
Manbij,IED,Attempted,,23-Sep-18,37 SDA 04372 42354,
Manbij City,IED,IED,,23-Sep-18,37SDA0437242354,
MERV,IDF,,,23-Sep-18,37S FU 667 424,
Raqqah,Assassination,,,23-Sep-18,37 SDV 88650 79447,
Manbij,IED,Attempted,,24-Sep-18,southern Manbij FLOT,
Raqqah,Assassination,,,24-Sep-18,37S EV 01584 77717,
Basrah,IDF,,,25-Sep-18,38 RQU 55070 84440,
Manbij,Cross DML,,,25-Sep-18,37 S CA 83764 32752,
Manbij,Cross DML,,,25-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,25-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,25-Sep-18,37 S CA 94374 55957,
MERV,Cross FLOT,,,25-Sep-18,37 SFU 75506 13369,
Manbij,Cross DML,,,26-Sep-18,37 S CA 04323 55821,
Manbij,Cross DML,,,26-Sep-18,37 S DA 06411 54236,
Manbij,Cross DML,,,26-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,26-Sep-18,37 SDA 04729 55230,
Manbij,Cross DML,,,26-Sep-18,37 SDA 04729 55230,
Manbij,Cross DML,,,26-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,26-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,26-Sep-18,37 S CA 91729 52810,
Manbij,Cross DML,,,26-Sep-18,,37SEV0085779010
Bashrah,IDF,,,27-Sep-18,38 RQU 6100 9180,
Manbij,Cross DML,,,27-Sep-18,37 S CA 92159 53526,
Manbij,Cross DML,,,27-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,27-Sep-18,,37SEV0085779010
Manbij,Cross DML,,,27-Sep-18,37 SCA 95028 56242,
Manbij,Cross DML,,,27-Sep-18,37 S DA 04729 55230,
Raqqah,IED,IED,,27-Sep-18,37 S DV 98733 78365,
Raqqah,IED,IED,,27-Sep-18,37 S DV 896 855,
Manbij,Cross FLOT,,,28-Sep-18,37 S DA 01736 20462,
Manbij,Cross DML,,,29-Sep-18,37SDA0760841611,
Manbij,IED,IED,,29-Sep-18,37 S DA 07755 43512,
Manbij,IED,IED,,29-Sep-18,37SDA0890843248,
Manbij,IED,IED,,29-Sep-18,37SDA0760841611,
Raqqah,Assassination,,,29-Sep-18,37S DV 98283 78786,
